,rain_mm,TAVG,TMAX,rain_3mo,rain_6mo,wateryear
2022-01-01,16.3155297935009,13.706451612903226,18.95714285714286,54.49022349715233,54.49022349715233,2022
2022-02-01,9.47498655319214,17.446428571428573,23.67037037037037,55.994321912527084,63.96521005034447,2022
2022-03-01,7.993753984570503,20.43548387096774,27.244,33.78427033126354,71.95896403491497,2022
2022-04-01,7.651972860097885,28.173333333333336,35.11304347826087,25.120713397860527,79.61093689501286,2022
2022-05-01,2.583546459674835,32.91612903225807,39.62413793103448,18.229273304343224,74.22359521687031,2022
2022-06-01,0.0,38.95,46.65,10.23551931977272,44.01978965103626,2022
2022-07-01,0.0191608434543013,40.01379310344827,46.89230769230769,2.6027073031291366,27.723420700989664,2022
2022-08-01,0.0,39.32903225806452,46.355,0.0191608434543013,18.248434147797525,2022
2022-09-01,0.1110956184566021,34.96666666666667,43.3448275862069,0.1302564619109034,10.365775781683624,2023
2022-10-01,0.0,29.59032258064516,39.14137931034482,0.1110956184566021,2.7138029215857387,2023
2022-11-01,12.8039288520813,23.51333333333333,29.30769230769231,12.915024470537903,12.934185313992204,2023
2022-12-01,23.636001765728,17.703225806451613,22.23703703703704,36.4399306178093,36.570187079720206,2023
2023-01-01,34.94328337907791,13.638709677419351,18.164,71.3832139968872,71.49430961534381,2023
2023-02-01,18.78684175014496,15.639285714285714,21.331818181818186,77.36612689495087,90.28115136548877,2023
2023-03-01,18.87644499540329,21.36774193548387,27.953846153846158,72.60657012462616,109.04650074243546,2023
2023-04-01,14.810590624809263,26.32,33.218518518518515,52.47387737035751,123.85709136724472,2023
2023-05-01,2.5923184230923653,32.77096774193548,39.21071428571428,36.27935404330492,113.64548093825579,2023
2023-06-01,0.0,39.086666666666666,45.67857142857143,17.40290904790163,90.00947917252779,2023
2023-07-01,0.0,40.903225806451616,48.165517241379305,2.5923184230923653,55.06619579344988,2023
2023-08-01,0.0,39.44,47.12,0.0,36.27935404330492,2023
2023-09-01,0.0,37.00666666666667,44.71052631578947,0.0,17.40290904790163,2024
2023-10-01,0.8007199764251709,30.38387096774193,37.57142857142857,0.8007199764251709,3.393038399517536,2024
2023-11-01,34.889156341552734,21.756666666666668,27.854545454545452,35.689876317977905,35.689876317977905,2024
2023-12-01,9.152033686637878,17.79032258064516,24.820833333333333,44.841910004615784,44.841910004615784,2024
2024-01-01,8.410696744918823,17.119354838709675,22.946153846153845,52.451886773109436,53.25260674953461,2024
2024-02-01,19.6887526512146,16.986206896551725,23.37272727272727,37.2514830827713,72.9413594007492,2024
2024-03-01,,20.322222222222223,26.56,,,2024
2024-04-01,,27.15,34.14583333333333,,,2024
2024-05-01,,33.35666666666667,40.165517241379305,,,2024
2024-06-01,,39.85666666666667,47.89259259259259,,,2024
2024-07-01,,41.346428571428575,47.912,,,2024
2024-08-01,,40.513333333333335,47.785,,,2024
2024-09-01,,36.803333333333335,43.88260869565217,,,2025
2024-10-01,,27.825806451612905,35.71034482758621,,,2025
2024-11-01,,22.534615384615385,28.3,,,2025
2024-12-01,,15.3,21.868,,,2025
2025-01-01,,14.49032258064516,20.73333333333333,,,2025
2025-02-01,,14.903571428571428,20.33684210526316,,,2025
2025-03-01,,20.241935483870968,25.62608695652174,,,2025
2025-04-01,,28.64482758620689,36.348,,,2025
2025-05-01,,36.11612903225807,43.55185185185185,,,2025
2025-06-01,,38.18,45.60416666666667,,,2025
2025-07-01,,40.37037037037037,47.51538461538461,,,2025
2025-08-01,,39.65416666666667,47.51764705882353,,,2025
