image,cls,L3,L5,L7,L11,L21,L31,L61,L121,L241
14,contamination,16.08497374282075,14.528445788289197,13.353504233465502,11.707305600089041,9.459098422145914,8.163826537722102,6.116385079082131,4.292504834257814,2.9700883376831735
13,vegetation,145.7257344054201,120.01603528015946,103.29086249022023,82.95895655317868,58.07574952284412,44.915170520388976,27.16822674325362,14.533937700902309,6.5381922936757135
13,contamination,61.156738925495155,53.979425813753984,48.16910221865139,39.474288508372716,27.584934828083362,21.057448246994614,12.405742250964938,6.450755471741291,3.5942272589498536
12,vegetation,215.85444091760098,171.77811838105342,142.92772046534594,108.98181293295828,69.36524375533206,49.801586701586615,28.380054769424916,15.06621780158841,6.811157866259153
12,contamination,33.782881405036164,30.176919389670736,27.3940246908645,23.39334151888303,17.944416509523446,14.81745462628237,10.370536878311418,6.5459150653979785,3.8003640118730706
11,vegetation,245.67040522073913,195.15218541294718,162.2047221622401,123.09637453283302,78.96844044962225,57.06077802608338,33.279877899185855,16.368560913069157,6.5627492591900785
11,contamination,33.716105053582595,30.184327786388046,27.419522106955064,23.38123031955549,17.73818481852984,14.552714285416583,9.739652488805872,5.812841585942324,3.4067969006739323
10,vegetation,745.1397729387677,503.2648789490963,381.99127486282595,243.28530876059042,108.33441603521045,65.2058748904799,25.77980308664009,11.482691226765704,5.958696130493256
10,contamination,32.20418648891274,27.59942470773629,24.405456831297975,20.042237788265915,14.211319807317524,11.101572228547765,6.883171948771143,3.8507392096015187,2.284920818511428
7,vegetation,416.7393352687519,299.3480111729735,230.0087760277475,153.94345938010107,77.52237450074401,54.727198919481154,25.90981416230649,13.859867177012823,6.968273247134412
7,contamination,44.09677328279537,37.41134852986556,32.39781976171315,25.577216866103882,17.12546238830106,12.879514167627796,7.591753315654354,4.260896970262101,2.5909345412318325
6,vegetation,584.9982273163939,416.05553828229375,315.001019187386,209.85643202777115,96.92497697801127,64.32028390066964,29.24322953273681,15.474955143256011,7.508318730420857
6,contamination,33.10170416025845,28.834163565437983,25.595785656421068,21.026515012091306,14.876248699310288,11.613387360928986,7.291025318277959,4.308612980478605,2.697801805151034
5,vegetation,559.2052512892783,399.5704084428567,304.04590901222866,204.49652557291597,98.84420835201276,67.46757356188976,29.98042646143167,15.087580279210474,7.460354854920918
5,contamination,47.25680593116033,41.29030125541288,36.71856462448407,29.916707909648498,20.56476504466342,15.78438721694981,9.496904531231593,5.138809728605222,2.8288108105705896
4,vegetation,327.3826552447557,257.47021729062686,213.82965813386386,160.0122520584042,96.17255901241369,70.71614313793502,33.450923412117106,16.05889277715793,7.738584176085663
4,contamination,35.217941006182215,30.646802289955197,27.252973283565748,22.492326819600784,16.31934225427932,13.029968701477397,8.383525684184452,4.989830967838419,3.025702685801596
3,vegetation,182.5933626976632,154.5240346216822,135.73085474028258,112.69781319467553,79.6409879020668,62.3908077542856,32.51221187852348,15.766460253105054,7.264053534230286
3,contamination,36.54857991036824,32.17114418993381,28.852335768401094,24.038427732476386,17.420064720957196,13.942951090810903,8.870356450414072,5.163743251173895,2.946828317739124
2,vegetation,153.23452473413548,128.92965482292857,113.98678090672722,95.29274184527522,70.42645472844748,56.63195718181766,31.057249114152448,14.308693685306864,6.5107560653555785
2,contamination,50.601723241555455,43.79730791881648,38.65443508654609,31.542342796519854,22.57474156914243,18.03327569309508,11.352694479496334,6.057172661062262,3.1425717597362333
1,vegetation,259.7294264316249,211.58113929415097,181.991373240179,145.71374409355946,100.33996780515827,75.20993265553447,36.87951998743296,16.845574566104702,7.487331004315653
1,contamination,41.16848062026812,35.90713784657597,31.96764099679547,26.394347822441997,19.07543635512363,15.287033096681974,9.696862578374144,5.387660629518066,2.9783547367434426
