image,date,year,month,veg_px,con_px,veg_shape,con_shape,R,G,B,sdR,redfrac,RminusB,z_R,z_G,z_B,z_RminusB,z_redfrac
21,2022-06-21,2022,6,521,284162,"(818, 1395)","(2141, 3647)",213.19832652598595,205.8767121195435,187.61008864690942,27.182649369030578,0.006639608767102439,25.58823787907653,2.124937431556301,1.936321222265668,1.0427789789696003,0.5011051517509746,-0.8390915558587015
20,2022-07-19,2022,7,1376,127828,"(818, 1395)","(2141, 3647)",204.99835358336557,199.3443650386774,172.9386234618386,29.91082304374261,0.012510357031470652,32.05973012152697,1.3230637205449374,1.3995994622827304,0.09292918788267296,1.0778474579621695,-0.5181446665251281
19,2022-08-05,2022,8,2996,86517,"(818, 1395)","(2141, 3647)",187.54760494258704,175.82354290934552,162.9912173007702,32.13391140207858,0.02352033874134302,24.556387641816855,-0.383441492390058,-0.5329581457595648,-0.5510788607178283,0.4091461934139753,0.083758059035418
18,2022-09-27,2022,9,2365,92225,"(818, 1395)","(2141, 3647)",206.14844171192016,199.07295042349537,187.7860349256945,31.907125098875728,0.016277306988947655,18.362406786225648,1.4355306081904806,1.3772990351709669,1.0541699705330467,-0.14286417288895895,-0.31220995144539937
17,2022-10-22,2022,10,2138,114393,"(818, 1395)","(2141, 3647)",203.5309862450824,198.25771912370666,193.19433264187538,32.016286237507025,0.01517616326539385,10.336653603207026,1.179570162554003,1.3103166209484576,1.4043102183576208,-0.8581229148361335,-0.37240818118874436
16,2022-11-21,2022,11,2974,193602,"(818, 1395)","(2141, 3647)",187.0250832827676,181.5589639315628,175.96784180091703,32.84729975822459,0.020493387609453045,11.057241481850582,-0.43453878080493064,-0.0617147737862159,0.28904473396038693,-0.7939037982264298,-0.0817217922879932
15,2022-12-21,2022,12,3273,295660,"(818, 1395)","(2141, 3647)",184.38397706131974,177.89629930211362,175.10780846931974,35.598916517911746,0.022713512329755336,9.276168592000005,-0.6928120289957753,-0.3626528258844182,0.2333650543891376,-0.9526338171368289,0.03964980990423104
14,2023-01-20,2023,1,5067,414840,"(818, 1395)","(2141, 3647)",182.72898363359207,171.05838922107029,169.2384792266661,41.03723937266772,0.03044449197442404,13.490504406925965,-0.854653504678416,-0.9244807703995858,-0.14662297575170063,-0.5770503093478294,0.46229335664207005
13,2023-02-24,2023,2,5430,106508,"(818, 1395)","(2141, 3647)",194.16190546919955,171.28909621316822,157.5830061610926,36.35816126189293,0.035020462438368066,36.57889930810694,0.26336963078473397,-0.9055250319327992,-0.9012135034666632,1.4805978532620006,0.7124562694344471
12,2023-03-01,2023,3,3451,194364,"(818, 1395)","(2141, 3647)",188.74060595512236,168.91511540727254,163.759941626948,35.70777993609564,0.026350613184812296,24.980664328174356,-0.26677816241859237,-1.1005800620058659,-0.5013106452456314,0.44695792298020187,0.23848582757303377
11,2023-04-02,2023,4,3005,194997,"(818, 1395)","(2141, 3647)",197.32036788232946,182.666983397273,177.8024806966994,39.79468464728731,0.024198865813058797,19.51788718563006,0.5722350372963126,0.029324197408878223,0.4078216488694775,-0.03988723876503052,0.12085233444789523
10,2023-05-17,2023,5,796,185819,"(818, 1395)","(2141, 3647)",199.39881660216938,191.13800182106806,176.97611727699933,33.81650093599467,0.01030447514409154,22.422699325170043,0.7754861211458959,0.7253343543989406,0.3543218033078562,0.21899092869672965,-0.6387376298256567
9,2023-06-29,2023,6,8030,608122,"(818, 1395)","(2141, 3647)",181.42323298868257,167.1647002858027,127.03219634276417,43.481909660909494,0.06295015004099895,54.391036645918405,-0.9823425986078484,-1.2444006326316814,-2.879112776472071,3.068023563111887,2.2393393774240065
8,2023-07-25,2023,7,21516,164208,"(818, 1395)","(2141, 3647)",186.50662343755783,162.2255101274339,133.66696712584667,42.062437043651855,0.11413448160993866,52.83965631171117,-0.48523886518300013,-1.6502227363675763,-2.44956906268994,2.9297638483134687,5.0375264670278685
7,2023-08-18,2023,8,1526,140169,"(818, 1395)","(2141, 3647)",200.34701501344745,192.61680181039327,185.16086177627884,35.20105201128253,0.01708001103686579,15.186153237168611,0.8682102537920767,0.846838022698841,0.8842128370030699,-0.4259333211416972,-0.26832706707810006
6,2023-09-27,2023,9,1045,193465,"(818, 1395)","(2141, 3647)",198.0046709345,193.29136924460644,193.0891723613701,32.69934020618071,0.012209105838884073,4.915498573129923,0.6391528956526904,0.9022629742569976,1.3975020046442261,-1.3412586951536563,-0.5346137142196977
5,2023-10-27,2023,10,1131,135929,"(818, 1395)","(2141, 3647)",197.21095474706513,190.99441298534163,187.74704818046595,32.428318562500564,0.012461787753188514,9.463906566599178,0.5615355487221756,0.7135365653851372,1.05164591779916,-0.9359025242020256,-0.5207998917332058
4,2023-11-11,2023,11,2179,180593,"(818, 1395)","(2141, 3647)",190.04315071153243,184.59889308188315,180.69089172689152,33.95004757967252,0.017371348615826433,9.352258984640912,-0.13940257168314726,0.18805703159786794,0.5948211461243876,-0.9458526070405907,-0.2523999849579378
3,2023-12-16,2023,12,4419,176180,"(818, 1395)","(2141, 3647)",183.49816638332663,174.252979643909,164.55762447433676,36.05824379218276,0.025747308762968556,18.94054190898987,-0.7794352777047935,-0.6620014237046006,-0.44966761734158645,-0.09134051010566324,0.20550388578425985
2,2024-01-30,2024,1,5092,123703,"(818, 1395)","(2141, 3647)",189.30323794791215,179.96330419583734,165.30031688617962,39.05089937584729,0.0359047396975431,24.002921061732536,-0.21175849257954837,-0.19282007041092164,-0.4015847419551105,0.35982100227571245,0.760798665132653
1,2024-02-14,2024,2,2858,153959,"(818, 1395)","(2141, 3647)",190.33647516934602,182.72665972607186,174.28347588593988,37.580413054532286,0.02226876326712727,16.052999283406137,-0.11071843172765487,0.0342274249664079,0.17999668781957032,-0.3486796106979709,0.015335902757019721
