image,cls,fd_full,r2_full,fd_fine_1_8,fd_mid_8_64,fd_coarse_32_256,counts
25,contamination,1.2892674040497984,0.99482112621166,1.4193258577001442,1.0966223173887595,1.5084339054207212,"[134562, 43865, 16464, 7024, 3272, 1597, 708, 242, 70]"
24,vegetation,0.9736400444972287,0.9910500754481827,1.1558245836394327,0.7928138377946703,1.0824079796961563,"[3755, 1454, 667, 337, 187, 107, 65, 33, 11]"
24,contamination,1.2176994997589392,0.994346079885658,1.42581217815976,1.0171151682464334,1.3337581359198871,"[90320, 28938, 10781, 4656, 2199, 1120, 556, 220, 70]"
23,vegetation,0.43562949882257906,0.9475377166831733,0.3934156240654452,0.3531567096862114,0.7308832568310274,"[166, 117, 90, 73, 65, 51, 35, 22, 11]"
23,contamination,1.233075655237222,0.9923568186968906,1.5102030213366016,0.9967401059301058,1.3071692209974537,"[101117, 30922, 10833, 4378, 2040, 1068, 543, 224, 70]"
22,vegetation,0.7520671988952706,0.9850277606286942,0.9977153131059115,0.5695855795103936,0.7343765052888022,"[1063, 458, 232, 133, 82, 54, 41, 23, 12]"
22,contamination,1.1563314291459779,0.9925224834174622,1.4395242477871715,0.959545926660988,1.1576890473787953,"[56827, 18121, 6709, 2844, 1376, 734, 382, 172, 66]"
21,vegetation,0.5982425032903775,0.9676281446573197,0.6970905671591429,0.37661475258645005,0.8781359713524673,"[521, 275, 175, 121, 92, 72, 55, 27, 12]"
21,contamination,1.4546293933437284,0.994848056368564,1.359026612785826,1.4021923876643203,1.756027309354235,"[284162, 100817, 40099, 16724, 7028, 2729, 898, 253, 72]"
20,vegetation,0.7992779557419423,0.987357299886583,0.9754551106715035,0.5908123630490381,0.9131480148415061,"[1376, 599, 315, 179, 106, 72, 52, 26, 11]"
20,contamination,1.2918403121459845,0.9923427307018857,1.2606090354260049,1.1746201758384562,1.6263217346972367,"[127828, 46169, 19728, 9221, 4418, 2022, 793, 243, 70]"
19,vegetation,0.9295549760446382,0.9911416386086735,1.1545449040836187,0.7611136685823191,0.973705804907678,"[2996, 1168, 528, 271, 152, 93, 55, 30, 12]"
19,contamination,1.2156452531569735,0.9944022495788367,1.4378690757182053,1.0163650671114615,1.306073936111342,"[86517, 27658, 10208, 4351, 2052, 1042, 521, 210, 69]"
18,vegetation,0.9121455939521371,0.9928077417512222,1.1206991927353271,0.7460454293010468,0.969436115794237,"[2365, 940, 438, 229, 133, 82, 48, 24, 11]"
18,contamination,1.2118996434853255,0.9922558385337845,1.3807147012399876,0.9835566613821718,1.4482370299026037,"[92225, 30255, 11587, 5228, 2636, 1383, 668, 235, 69]"
17,vegetation,0.8708453317398747,0.9900221341543796,1.0938670833898116,0.6783047810495844,0.9290801464090529,"[2138, 867, 411, 219, 128, 82, 53, 27, 12]"
17,contamination,1.2529161787614473,0.9934923033372763,1.424513111768822,1.0260750221706945,1.4668878487563037,"[114393, 37050, 13801, 5915, 2831, 1460, 689, 240, 70]"
16,vegetation,0.9251793055979254,0.990052948789698,1.1525880377403295,0.7178324135321074,1.0003588923310331,"[2974, 1154, 523, 270, 151, 95, 60, 29, 12]"
16,contamination,1.3626946247068255,0.9961523309511935,1.4838106408867713,1.1850742093130293,1.5653403102018169,"[193602, 60879, 21841, 8839, 3893, 1789, 741, 240, 70]"
15,vegetation,0.9518627108345366,0.9905841911642064,1.1684477903077843,0.7640703983400576,1.0504364112931346,"[3273, 1258, 561, 288, 163, 100, 58, 30, 11]"
15,contamination,1.4521256048101199,0.9973720356748103,1.5162617671395142,1.3223903806897044,1.6551530989335126,"[295660, 92193, 32391, 12611, 5256, 2152, 800, 242, 70]"
14,vegetation,1.0369337628007451,0.9923188140006046,1.2607327532695851,0.8330024476494599,1.1159247127680867,"[5067, 1887, 783, 369, 197, 112, 65, 30, 11]"
14,contamination,1.521903787003944,0.9976171334181145,1.5582064325776241,1.4189197542284426,1.7372680794087005,"[414840, 126339, 43144, 16213, 6531, 2532, 838, 244, 69]"
13,vegetation,1.0476399051149594,0.9957091446804869,1.211794260431217,0.928222674104421,1.090684571126029,"[5430, 2069, 893, 437, 222, 119, 63, 32, 12]"
13,contamination,1.2398697241378849,0.9930710653285023,1.46777319698493,1.0137569823013088,1.3778104301460037,"[106508, 33302, 12042, 5033, 2383, 1224, 604, 240, 69]"
12,vegetation,0.9821239196241284,0.9956722524392595,1.124635026668499,0.8580008785464943,1.05532737134123,"[3451, 1410, 646, 333, 182, 100, 56, 28, 11]"
12,contamination,1.3632630363884448,0.9964329905281589,1.5043376326255224,1.1876575894765753,1.532569570114527,"[194364, 60415, 21293, 8513, 3680, 1687, 710, 242, 70]"
11,vegetation,0.9294198148835415,0.9931690949301136,1.0700195090443263,0.8168205634230372,0.9996108821518898,"[3005, 1246, 592, 325, 181, 100, 60, 34, 12]"
11,contamination,1.3618320836371325,0.9961375319057815,1.5004182748769537,1.1831667549779614,1.5486811891318428,"[194997, 60575, 21427, 8608, 3825, 1742, 727, 244, 70]"
10,vegetation,0.6905877704145597,0.9800663373636672,0.8353022510514545,0.5019309367523654,0.9045750274389167,"[796, 378, 208, 141, 98, 72, 49, 26, 11]"
10,contamination,1.3605492305978537,0.9926464239756403,1.3308460832017361,1.2416984986721278,1.7115322958451198,"[185819, 64386, 25967, 11618, 5392, 2414, 862, 249, 70]"
7,vegetation,0.7930615271663993,0.9848245608506019,0.9007915518004682,0.6153238687148118,1.004485102439793,"[1526, 716, 376, 236, 151, 97, 66, 33, 12]"
7,contamination,1.295628189437731,0.9940752388955447,1.4004966245572184,1.1045885974377645,1.5591824202946718,"[140169, 46125, 17449, 7622, 3596, 1764, 753, 244, 70]"
6,vegetation,0.7438383098675245,0.9855952306943617,0.8394234107282298,0.6081027848337741,0.9159036806951453,"[1045, 503, 283, 182, 120, 76, 52, 30, 11]"
